username,tr,rank,glicko,rd,apm,pps,vs
8799999,3181.7810678252954,c+,1021.2933486818713,68.13066711544445,9,0.69,21.21
lengalen,3181.4584125599595,c+,1056.285914529294,77.48671122694815,13.82,0.86,28.83
kenzielobb,3181.3810100168953,c+,1017.3133427032312,73.3407158449007,11.27,0.86,24.62
pat0n,3181.0406585402498,c+,1172.9606290401844,91.81146994715922,13.53,0.93,31.27
egjigleeem,3180.276451073359,c+,1021.1445359946088,61.087032459400746,11.87,1.21,24.42
amugana5678,3180.061968211957,c+,1021.0955923559577,62.1674891138995,10.94,0.73,22.81
canve143,3179.6918566563713,c+,1171.0691679219358,87.74546099878172,16.07,0.92,32.27
mongol1234,3179.2443604822543,c+,1020.4136845302721,64.01990179060606,15.5,0.84,32.02
marcos1635,3179.237123921752,c+,1017.7511651062174,71.2725355363472,9.4,0.91,22.33
bnamkocobo,3179.110106859372,c+,1114.5300691777788,68.55950882590795,10.15,0.7,22.22
tiff07,3179.0810623053885,c+,1020.9150566121323,61.39991227851725,11.05,1.04,25.43
kypepper,3178.9229468880944,c+,1018.7219499194106,68.16745050780763,14.82,0.86,27.54
manteigaquevoa,3178.9084543034855,c+,1279.3814104784174,99.9,22.18,1.42,40.76
agdf07,3178.657254133442,c+,1020.8864293624878,61.346009354772384,14.09,0.93,28.88
thulobaba,3178.5687416255546,c+,1020.4159758574053,66.78448001175192,10.19,1.23,20.88
kato22,3178.285885936576,c+,1020.6339343507416,95.0089062288349,12.73,0.82,27.05
jingyiiiiii,3177.5521697816043,c+,1257.4430054259708,91.75720552183944,13.28,0.95,28.5
gotyou,3177.5077650793414,c+,1169.482516976629,93.8824235673721,11.93,0.71,23.15
kyyl,3177.4684209353377,c+,1054.2955429747926,96.73606478922773,14.69,1.05,29.68
dentonxd,3177.3703730442517,c+,1014.0152743698799,82.08051548172406,11.57,0.9,22.08
skulzx,3177.0712088826513,c+,1018.5865820115879,72.96301279668808,12.78,0.76,26.71
nimama3,3177.0055631358655,c+,1018.9824671749578,66.71438229354969,11.13,0.76,23.92
zkarter,3176.422354381399,c+,1037.4529778133028,88.35552324959087,11.4,0.84,21.74
docdan,3176.01837245669,c+,1020.6671212596962,61.138421999116204,11.53,1.05,25.22
chytwo,3175.9471908816226,c+,1133.1707718211592,72.53960517671543,8.88,0.73,21.28
vhtsnpsdanud,3175.9445346897523,c+,1020.6168529670576,61.270429876631695,10.37,0.91,20.01
yunsososososo,3175.6576297949723,c+,1020.4933089773217,66.5590860851077,12.67,0.81,27.59
djdejd,3175.0467598594755,c+,1020.5135128821212,61.289391855482585,11.59,0.96,23.2
pei24,3174.9258370157454,c+,1019.2914017409787,67.05427017137977,13.12,0.86,25.19
hsutzu-,3174.912065213002,c+,1016.9083964887218,75.41517572587509,10.16,0.86,21.99
pokkat02,3174.7802427045895,c+,1303.1753423544878,96.83062165594427,18.42,0.76,36.56
olgierd-zs,3174.55673678743,c+,1019.6926001427821,63.68237653486654,9.81,0.73,22
ethang300,3174.397764431326,c+,1020.4190971390226,61.36457838187325,10.91,0.78,20.42
cxlebd,3174.223433450543,c+,1035.759245848646,80.0408098472215,14.68,1.23,28.22
wxssse34rt,3173.9988520453458,c+,1280.1764186230678,91.75862510061644,16.79,0.9,34.27
rm1016,3173.9148132414457,c+,1034.6402522491167,88.50956034798807,10.95,0.67,23.6
mortalprotox,3173.4181049429353,c+,1020.3667326336862,61.196605327574126,16.82,0.97,30.71
listondaperforma,3173.3903966339576,c+,1092.7080092423994,99.37401052127653,12.93,0.95,28.4
gahuinim,3173.305746199054,c+,1015.1876848522289,86.15110466997922,9.14,0.92,20.79
junowastalking,3172.583546168586,c+,1019.789061766418,62.71542874795809,9.59,0.77,22.08
sseokcess,3172.2141635444486,c+,1017.8283209171393,71.67255228724471,14.28,0.82,26.69
vesbe,3172.1838404151204,c+,1074.52927917557,81.37907697500948,9.73,0.62,22.74
nf1601,3171.8789028306373,c+,1018.0379338475464,67.91180851768878,12.54,1.14,27.4
tsek123,3171.5459929723647,c+,1018.210639185874,67.26540882585638,10.77,0.71,24.87
isaiahda-makah,3170.7836263894505,c+,1020.1525513991583,81.97361899295873,14.07,0.86,26.41
unipara,3170.476025159814,c+,1019.2036548237181,67.82470902506782,11.71,0.94,23.04
jonon_,3169.7264921565607,c+,1015.7631234394012,74.19114279325733,16.64,1.06,31.73
rhythmiccube378,3169.0065865050155,c+,1017.9818353693092,68.11759133145583,12.79,0.82,25.88
chneko,3168.285745552581,c+,1019.4534599597421,62.307504434249545,10.82,0.85,22.85
felix101,3168.2769872680387,c+,1017.0202455872991,69.84090224081288,11.79,0.84,26.49
youthfuldreamer,3167.5935539199813,c+,1017.7758570449068,75.27841065892038,9.49,0.69,20.78
pp2nette,3167.2671114620275,c+,1019.693451462718,64.21541176726288,13.33,0.91,24.64
jjiinngg,3167.2584373969657,c+,1019.7779634516504,78.94902264028104,12.92,0.99,26.3
taczka,3166.927982658436,c+,1017.4447729011683,72.0772037119343,10.45,0.72,21.76
jumpyo,3166.6218345729467,c+,1019.6152021199298,61.24093336519422,8.77,0.72,22.29
hinsony,3166.3990668953907,c+,1018.9228567669402,63.32007134617892,17.39,0.85,33.18
lacr0s,3166.031153678313,c+,1019.1325419218163,62.54382509769114,12.83,0.84,26.67
enkh___d,3165.7116340223774,c+,1110.8900358401497,92.38253874831395,14.26,0.99,31.93
couldrr,3165.603491728628,c+,1017.9798363591451,65.97638139130565,11.25,0.78,25.71
russtemm,3165.358360528044,c+,1017.8737940785558,82.22192983918623,11.03,0.83,25.1
foth,3164.5831484443465,c+,1019.420264954608,61.15842275982373,11.84,0.87,27.07
foxycuter,3164.386738907798,c+,1013.8952044148691,78.10842114876516,11.07,0.85,25.46
iamjohn17,3164.261753551426,c+,1256.559758500335,91.9459393980413,14.44,0.96,32.28
jedh,3164.143848380136,c+,1018.3561511707792,64.31763210521267,9.03,0.82,18.73
itspaula_z,3163.892934011732,c+,1018.1918573788382,83.74234237687753,10.41,0.81,22.81
waterpr0of,3163.6616647235523,c+,1012.3758059167634,90.47848864315618,10.65,0.86,22.18
meyaoi,3163.277434274473,c+,1018.3535738962606,64.03300776050705,11.8,0.95,23
hitresd,3163.1714438038343,c+,1018.4873008771048,63.5822221724105,9.39,1.02,23.31
laloste,3162.503385219609,c+,1016.7867796723581,68.61725549944937,14.59,1.01,25.53
norok,3162.462526635236,c+,1018.9904120587332,61.77908959410263,17.74,0.85,34.54
audrinavalerie,3162.2359369096794,c+,1010.501392525923,89.65561265635073,15.17,1.04,30.31
risrawr,3162.1427543682557,c+,1015.1737634343183,74.45216325821774,9.59,0.74,21.71
narankhishig,3162.0844864562227,c+,1016.4479211964981,98.52016495815775,9.34,0.83,18.89
chanakkk,3161.516110797983,c+,1091.0130099780463,76.12443971603184,9.07,0.81,21.29
ultegrakilll,3161.199464956903,c+,1278.300408697859,96.77286762804431,15.99,0.75,34.69
tails32,3160.4414225498126,c+,1018.6852081796258,62.04453743057517,12.11,0.86,23.13
likeme,3160.3045419307678,c+,1069.7000151340299,82.83606522363444,12.62,1,25.66
nattuyy,3160.027290459742,c+,1018.6487425633794,62.01780689703195,10.11,0.7,22.76
ajmokey21,3159.9352603505286,c+,1017.4444682467745,65.72075565846332,11.78,0.97,24.25
altn100,3159.6796192878464,c+,1016.6574334794652,68.06492605645904,10.42,1.03,23.38
mr_petter,3159.647156805361,c+,1112.4188141715135,83.20172476324827,14.72,1.11,28.76
orgilshdee11,3159.589770578638,c+,1018.7061684433202,69.69126159747736,18.03,0.99,34.17
ddangggoma,3159.11815143817,c+,1013.1750774228958,93.53658597369848,8.79,0.77,20.22
kurokun,3158.323406382057,c+,1091.7852689935398,72.1297603026249,13.41,1.03,28.35
rz3er,3158.1448005751295,c+,1301.3271332702086,99.9,16.65,0.85,34.15
tijsewijzer,3158.1398725213035,c+,1018.7258046408826,61.13953144862921,10.52,0.65,25.32
ssssssssung,3157.870029960997,c+,1013.5567644682897,76.95762719248444,10.5,0.9,22.98
user-79173683022,3157.6095625094695,c+,1017.4401775398856,84.94905706930733,11.71,0.86,24.9
volluna,3156.863530611348,c+,1073.179968209784,68.5435091328211,9.48,0.75,19.92
xexy_es,3156.839934499039,c+,1017.5408922726697,64.37740533008434,15.81,0.65,30.08
ded_and_sanya,3155.5315031802215,c+,1091.792983664514,71.06146775659793,10.67,0.76,26.34
kitkat_exe,3155.181300902139,c+,1008.5752167475296,91.08158046555072,9.45,0.7,20.44
pilaitlogmote,3154.709409923609,c+,1233.9422843261357,88.64876038798106,13.25,0.87,30.57
shandie,3154.438060476096,c+,1017.3896173939922,91.03441244635032,15.1,0.86,30.77
dw009,3154.17236604612,c+,1016.8898616443805,65.49042954390787,8.64,0.84,19.74
im_banana,3152.5080241469645,c+,1017.4131965895656,69.30912918116381,10.83,0.82,25.46
s0l4ru5,3152.462128779626,c+,1014.8275593933299,71.26068531868482,7.49,0.71,17.4
nhnnn,3152.392883451375,c+,1170.2163437512836,81.8678284551757,12.59,0.89,27.67
hazimlikesk8,3152.0274228246753,c+,1017.0129163797671,64.38573511932758,12.12,0.76,23.57
iamnoone,3152.013657208256,c+,1017.745732690063,70.11105607602457,16.02,0.82,31.19
asifodiundv,3151.94226047481,c+,1018.0638211881103,61.09939951540697,12.19,0.78,25.76
onethatsavesme,3151.8499214852027,c+,1010.1257711342594,89.32871724941658,11.16,0.91,23.24
jellyboo,3151.8074817759284,c+,1034.0685801643895,80.73879396544953,17.64,0.8,32.44
clydii,3151.462412480888,c+,1017.4925636302859,90.7096593888968,11.11,0.88,23.7
yu-ting,3150.864522343469,c+,1017.9889764614675,60.96700744494425,12.62,0.94,27.48
cherry_namu,3150.22502890356,c+,1010.4949153768932,93.67627850349426,15.53,1.02,28.92
smrmaak66,3149.7542841979216,c+,1111.0180863532019,98.76676973772769,10.51,1.02,22.2
oogii23,3149.6340376595826,c+,1017.5005550511338,62.06639361366157,10.75,0.72,24.09
rolandsiege,3149.5072230602073,c+,1017.8611589229732,60.90441599361424,21.12,0.8,37.42
noxcevr,3148.3544181730917,c+,1017.3793791415725,77.00912569200624,10.4,0.94,22.25
karminion,3148.335521951574,c+,1300.4787889331528,99.9,15.77,0.87,34.87
marrymee,3148.0501675821606,c+,1017.4643656625759,61.642624535809816,12.3,0.84,25.23
heeg1,3147.8621919484485,c+,1091.4125587801218,74.5888197867869,16.49,0.91,30.68
chaudinhh,3147.0337403216217,c+,1034.7119153665035,92.03324374113305,10.34,0.86,22.4
myrablue,3146.646611311694,c+,1009.1650369177535,99.48096489663489,11.02,0.85,23.72
gavesteban,3146.585414069738,c+,1017.3755439911004,87.42228469157033,10.9,0.81,23.5
truj4y,3146.4139508742933,c+,1005.2888395356078,97.93568885495696,9.29,0.63,19.93
taengaso,3145.967276677578,c+,1017.3462517290707,61.303863395873236,12.78,0.93,23.65
ddexxter,3145.7240745054764,c+,1016.4986369387332,95.84593706280064,11.78,0.75,25.09
cliffsmart,3145.4743550272387,c+,1017.3523608638664,61.11801596462173,12.55,0.71,25.65
tinuus,3144.2861493927594,c+,1017.0372711358252,97.69262335179866,11.26,0.84,22.33
lukas0842,3144.1577440725678,c+,1017.189873319076,61.176123258501555,13.22,0.88,26.92
chocogreentea,3143.510956912343,c+,1016.0389672579582,88.51782051402466,10.7,0.86,24.52
cpyher,3143.4735306299576,c+,1016.5265870995024,62.998612153702716,12.71,0.71,25.13
winniesuki,3143.445903462142,c+,1015.0610870629982,67.50801057409792,12.1,0.84,28.02
realmonkey123,3143.3287573224097,c+,1016.915513259016,61.7457901530786,10.93,0.96,24.4
jetotnaumuutot,3143.0590283606075,c+,1015.2245006292701,66.8749940287906,14.6,0.94,29.89
handsome_guy321,3142.550434391344,c+,1016.9544396537942,74.36168756228224,16.59,1.09,29.75
schutzzz,3142.3589070572625,c+,1013.9966527483481,74.40724487745769,10.41,0.75,22.29
joserrayt,3142.3532692759327,c+,1008.8837463428366,96.89494130533103,12.76,0.69,24.67
heynen,3142.3308892359864,c+,1014.5821785647829,68.60311850048481,11.9,0.88,24.88
cld_winter,3142.29325181965,c+,1011.9633814610338,79.58393312251418,13.03,1.04,23.63
kenkanekiiii,3142.10919043776,c+,1011.3434126456218,91.40214133504449,10.81,1.05,20.65
mellonges,3141.4675774173597,c+,1016.8222278598679,61.404689005883846,10.72,0.85,22.44
xbergex,3141.4504343344083,c+,1016.7739777731666,61.54834614430857,12.75,0.99,26.53
imnottimaq,3140.8221031011954,c+,1016.7119847298234,65.52761789580015,15.48,0.87,29.49
comiksdj,3140.6207697293044,c+,1012.5179625675871,75.33705619698151,11.34,0.81,21.42
kodebreaker,3140.4352265755906,c+,1004.1214896255658,99.40205939245605,13.53,0.81,26.12
deviless,3140.0799651428997,c+,1015.128160969823,92.16619744180664,10.85,0.76,22.81
21031501,3139.5790079004973,c+,1071.4031331187325,84.46756457030332,14.11,0.89,29.26
jasonskechers,3139.4622171107235,c+,1016.05475019842,67.10042655945881,15.58,0.93,32.31
sage_dawise1,3139.270598158514,c+,1010.683494237157,79.4487280316827,9.82,0.82,23.15
jeffdover,3139.2302975156663,c+,1232.8981000560893,87.64583288500506,13.63,0.87,32.43
chohun,3138.904017792989,c+,1016.3877934191885,61.88182935131682,13.73,0.83,26.12
sum2er,3138.772715762474,c+,1004.3533331759598,98.17071736908353,9.32,0.88,21.24
rextapia,3138.5261191843842,c+,1013.4586167322404,74.76347715953862,10.62,0.72,25.23
ahuganisutan,3137.7522184990385,c+,1010.1641053790443,82.5092636236314,16.17,0.81,33.14
kpnnn,3137.285060154599,c+,1016.3884461827585,61.331660861296506,10.56,0.69,24.12
jackyswan,3136.1124156213423,c+,1015.0111480223791,93.18668561986372,10.73,0.84,22.98
kwemi,3135.997786153024,c+,1189.635624384448,91.61205455857734,13.19,0.97,29.91
jmcomic,3135.9644811093235,c+,1015.795289075133,62.718680622973515,14.36,0.9,30.87
c558,3135.865163672932,c+,1052.5171370597209,88.99096885862112,15.12,0.91,28.48
uanitonio,3135.4359778694707,c+,1016.3209541687235,60.914283567814934,12.9,0.92,29.06
narukatomuka,3134.0818054224746,c+,1016.1127938558296,61.09978953150401,12.34,0.89,26.85
boogierrr,3133.979294396327,c+,1015.2808782283514,63.634690386933535,9.64,0.73,22.47
